exp_id,exp_name,description,date,cv_score,cv_std,lb_score,cv_lb_diff,improvement_from_baseline,improvement_from_previous,model_type,n_features,n_samples,cv_folds,training_time_min,feature_engineering,hyperparameters,preprocessing,ensemble_method,status,submission_file,notes
exp01,baseline_lgb,ベースライン実験（初回LightGBM）,2025-09-16,TBD,TBD,TBD,TBD,0.0000,0.0000,LightGBM,33,419331,5,TBD,基本交互作用・時間・統計特徴量,"{""n_estimators"": 1000, ""learning_rate"": 0.1}",標準化なし,5-fold平均,completed,submission_baseline.csv,ベースライン確立
exp01_5,genre_features,音楽ジャンル特徴量追加,2025-09-17,TBD,TBD,TBD,TBD,TBD,TBD,LightGBM,39,419331,5,TBD,ジャンル特徴量（6個）追加,"{""n_estimators"": 1000, ""learning_rate"": 0.1}",標準化なし,5-fold平均,pending,submission_genre_features.csv,ballad_genre_scoreが最重要
exp02,multicollinearity_removal,多重共線性除去による最適化,2025-09-20,TBD,TBD,26.3879,TBD,TBD,-0.0821,LightGBM,TBD,419331,5,30,多重共線性除去（閾値0.7）,"{""n_estimators"": 1000, ""learning_rate"": 0.1, ""early_stopping"": 100}",ジャンル特徴量優先保持,5-fold平均,completed,submission_optimized.csv,LB改善確認。CV詳細要追加
exp02_1,ticket008_01_submit,TICKET008-01多重共線性除去LB確認,2025-09-23,TBD,TBD,26.39006,+0.0022,TBD,+0.0022,LightGBM,TBD,419331,5,TBD,多重共線性除去＋ジャンル特徴量,"{""n_estimators"": 1000, ""learning_rate"": 0.1, ""early_stopping"": 100}",ジャンル特徴量優先保持,5-fold平均,completed,submission_advanced_features_0923.csv,LB微増。性能維持確認
exp03,ticket008_03_dimensionality,TICKET008-03次元削減特徴量,2025-09-23,26.4668,0.0632,26.38834,-0.0785,TBD,+0.0018,LightGBM,26,419331,5,45,PCA/ICA次元削減＋多重共線性除去,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold平均,completed,submission_ticket008_03_dimensionality.csv,特徴量半減で同等性能。効率性向上
exp04,ticket016_rhythm,TICKET016ドラマー視点リズム周期性特徴量,2025-09-23,26.4668,0.0631,26.39013,-0.0765,TBD,+0.0018,LightGBM,33,419331,5,30,リズム周期性特徴量（3個）追加,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold平均,completed,submission_ticket016_rhythm.csv,音楽ドメイン知識効果なし。特徴量飽和を実証
exp05,ticket017_01_comprehensive,TICKET017-01包括的交互作用特徴量,2025-09-24,26.4657,0.0629,26.38764,-0.0788,TBD,-0.0007,LightGBM,50,419331,5,15,包括的交互作用164→50特徴量選択,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold ensemble,completed,submission_ticket017_01.csv,Kaggleサンプル手法で大幅改善。CV-LB一貫性良好
exp05_1,ticket017_01_ultra_selective,TICKET017-01超選択8特徴量版,2025-09-24,26.4660,0.0627,26.38898,-0.0770,TBD,+0.00134,LightGBM,8,419331,5,5,最重要8特徴量のみ選択（84%削減）,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold ensemble,completed,submission_ultra_selective_8features.csv,8特徴量で50特徴量とほぼ同等性能。効率性大幅向上
exp07,ticket017_01_threshold_03,TICKET017-01重要度0.3閾値5特徴量版,2025-09-24,26.4687,0.0628,26.39033,-0.0785,TBD,+0.00135,LightGBM,5,419331,5,2,重要度0.3以上特徴量選択（91%削減）,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold ensemble,completed,submission_threshold_03_5features.csv,重要度閾値0.3による客観的特徴量選択。CV向上・LB微劣化・超効率化達成
exp08,ticket017_01_strict_threshold,TICKET017-01厳密0.3超7特徴量版,2025-09-24,26.4669,0.0632,TBD,TBD,TBD,TBD,LightGBM,7,419331,5,3,VocalContent_x_TrackDurationMs除外（88%削減）,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold ensemble,completed,submission_strict_threshold_03_7features.csv,厳密な0.3超基準。5特徴量が最適であることを再確認
exp09,ticket017_01_balanced_10,TICKET017-01バランス型10特徴量版,2025-09-24,26.4668,0.0623,TBD,TBD,TBD,TBD,LightGBM,10,419331,5,4,適度な特徴量数での性能確認（79%削減）,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""early_stopping"": 50}",StandardScaler適用,5-fold ensemble,completed,TBD,7特徴量と同等性能。追加特徴量の効果は限定的
